name,real_name,first_appearance,powers,popularity_score,power_level,notable_feat,why_underdog,powers_note
The Punisher,Frank Castle,The Amazing Spider-Man #129 (1974),"[""Peak human conditioning"",""Tactical genius"",""Weapons mastery""]",7,4,Wages a one-man war on organized crime with no superpowers at all,Has a massive fan base but is constantly overshadowed by powered heroes despite relying purely on skill and grit,
Moon Knight,Marc Spector,Werewolf by Night #32 (1975),"[""Enhanced strength (variable)"",""Multiple personas"",""Expert combatant""]",6,6,Went toe-to-toe with Werewolf by Night and led his own vigilante network,"Only gained mainstream recognition after his 2022 Disney+ show, despite decades of comic history",Power level fluctuates with the moon in some comic depictions
Hawkeye,Clint Barton,Tales of Suspense #57 (1964),"[""World-class marksmanship"",""Peak human agility""]",7,3,Has led the Avengers and even briefly wielded Thor's hammer,Frequently the punchline for having 'no powers' on a team of gods and super-soldiers,
She-Hulk,Jennifer Walters,The Savage She-Hulk #1 (1980),"[""Superhuman strength"",""Durability"",""Retains intelligence while transformed""]",6,8,Has held her own against Hulk-level threats while keeping full control of her mind,Matches or exceeds her cousin's power but rarely gets equivalent screen time or story focus,
Ghost Rider,Johnny Blaze,Marvel Spotlight #5 (1972),"[""Hellfire manipulation"",""Penance Stare"",""Near invulnerability""]",6,8,Can judge and punish the guilty with a single terrifying stare,Iconic visual design but rarely included in major team crossover storylines,
Squirrel Girl,Doreen Green,Marvel Super-Heroes Vol. 2 #8 (1991),"[""Squirrel-like agility"",""Communication with squirrels"",""Enhanced strength""]",4,6,"Has defeated Doctor Doom, Thanos, and Wolverine in the comics","One of the most quietly powerful characters in Marvel, played almost entirely for comedy",
Nightcrawler,Kurt Wagner,Giant-Size X-Men #1 (1975),"[""Teleportation"",""Enhanced agility"",""Wall-crawling""]",5,6,"Infiltrated the White House solo, teleporting past the entire Secret Service",A fan favorite among X-Men readers but frequently sidelined in film adaptations,
Jubilee,Jubilation Lee,Uncanny X-Men #244 (1989),"[""Plasma energy projection"",""Later gained vampiric abilities""]",4,4,One of the longest-running X-Men characters despite minimal spotlight,"Iconic 90s design and mascot status, but rarely given serious storylines",
Machine Man,Aaron Stack,"2001: A Space Odyssey #8 (1977, as Mister Machine)","[""Superhuman strength"",""Flight"",""Shapeshifting limbs""]",2,7,A Jack Kirby creation with cosmic-tier tech abilities,Virtually unknown outside dedicated comic readers despite a unique power set,
Darkhawk,Chris Powell,Darkhawk #1 (1991),"[""Amulet-based armor transformation"",""Energy blasts"",""Flight""]",2,6,A cult-favorite 90s hero with a loyal but small fanbase,Almost no modern-day presence despite passionate nostalgia from longtime fans,
Nova,Richard Rider,Nova #1 (1976),"[""Cosmic energy manipulation"",""Flight"",""Superhuman strength""]",3,9,"Served as a member of the Nova Corps, wielding near-limitless cosmic power","One of Marvel's most powerful cosmic heroes, yet virtually unknown outside comics",
Sleepwalker,Rick Sheridan (host),Sleepwalker #1 (1991),"[""Dimension-hopping"",""Reality warping perception"",""Energy manipulation""]",1,6,Exists as an interdimensional being who can only act through a human host,"A bizarre, unique concept from the 90s that has almost entirely faded from modern comics",
Prowler,Hobie Brown,The Amazing Spider-Man #78 (1969),"[""Peak human agility"",""Advanced tech gauntlets and claws""]",3,4,A Spider-Man ally with his own gadget-based arsenal,Rarely gets stories independent of Spider-Man despite a strong individual concept,
